83.143	83.180	83.078	83.169	16.12.2021 04
83.135	83.180	83.039	83.130	16.12.2021 03
83.188	83.229	83.116	83.135	16.12.2021 02
83.080	83.211	82.885	83.188	16.12.2021 01
83.184	83.238	83.081	83.081	16.12.2021 00
83.218	83.295	83.125	83.185	15.12.2021 23
83.437	83.494	83.080	83.242	15.12.2021 22
83.648	83.678	83.355	83.458	15.12.2021 21
83.561	83.744	83.560	83.646	15.12.2021 20
83.372	83.570	83.337	83.532	15.12.2021 19
83.191	83.383	83.172	83.371	15.12.2021 18
83.188	83.220	83.110	83.193	15.12.2021 17
83.095	83.217	83.048	83.188	15.12.2021 16
83.180	83.251	83.075	83.094	15.12.2021 15
83.153	83.192	83.122	83.178	15.12.2021 14
83.186	83.235	83.110	83.152	15.12.2021 13
83.113	83.199	83.064	83.186	15.12.2021 12
83.205	83.233	83.039	83.083	15.12.2021 11
83.337	83.357	83.198	83.206	15.12.2021 10
83.247	83.342	83.203	83.338	15.12.2021 09
83.223	83.284	83.205	83.253	15.12.2021 08
83.142	83.298	83.140	83.225	15.12.2021 07
83.146	83.180	82.931	83.139	15.12.2021 06
83.200	83.210	83.145	83.146	15.12.2021 05
83.193	83.210	83.162	83.200	15.12.2021 04
83.104	83.230	83.048	83.160	15.12.2021 03
83.053	83.118	83.041	83.104	15.12.2021 02
82.911	83.064	82.862	83.050	15.12.2021 01
83.086	83.138	82.902	82.907	15.12.2021 00
83.167	83.176	83.037	83.086	14.12.2021 23
83.244	83.258	83.136	83.169	14.12.2021 22
83.275	83.280	83.202	83.244	14.12.2021 21
83.240	83.303	83.216	83.274	14.12.2021 20
83.048	83.147	83.008	83.134	14.12.2021 19
83.041	83.087	82.981	83.048	14.12.2021 18
83.217	83.218	82.999	83.040	14.12.2021 17
83.200	83.265	83.158	83.213	14.12.2021 16
83.243	83.257	83.148	83.199	14.12.2021 15
83.280	83.315	83.230	83.243	14.12.2021 14
83.163	83.310	83.152	83.283	14.12.2021 13
82.928	83.191	82.923	83.160	14.12.2021 12
82.824	82.922	82.739	82.921	14.12.2021 11
82.867	82.904	82.797	82.825	14.12.2021 10
82.884	82.906	82.819	82.864	14.12.2021 09
82.962	82.962	82.848	82.885	14.12.2021 08
82.910	82.962	82.909	82.962	14.12.2021 07
82.965	82.965	82.894	82.910	14.12.2021 06
82.943	82.965	82.909	82.965	14.12.2021 05
82.889	82.947	82.886	82.943	14.12.2021 04
82.953	82.954	82.873	82.892	14.12.2021 03
83.009	83.024	82.912	82.953	14.12.2021 02
83.010	83.012	82.963	83.009	14.12.2021 01
83.009	83.032	82.974	83.010	14.12.2021 00
82.955	83.056	82.952	83.009	13.12.2021 23
83.080	83.083	82.971	82.971	13.12.2021 22
83.052	83.120	83.038	83.079	13.12.2021 21
83.195	83.246	83.050	83.050	13.12.2021 20
83.082	83.252	83.039	83.182	13.12.2021 19
82.939	83.114	82.923	83.084	13.12.2021 18
82.892	83.036	82.857	82.935	13.12.2021 17
82.794	82.932	82.789	82.892	13.12.2021 16
82.729	82.877	82.723	82.795	13.12.2021 15
82.719	82.761	82.645	82.729	13.12.2021 14
82.746	82.767	82.667	82.722	13.12.2021 13
82.789	82.798	82.649	82.745	13.12.2021 12
82.876	82.955	82.793	82.804	13.12.2021 11
82.808	82.946	82.787	82.876	13.12.2021 10
